Add New Category,Adauga Categorie Noua
Display Prev. & Next Color Links,Arata Link-urile pentru Preview si urmatorul
Color List,Lista Colorari
Colors Per Page,Colorari pe Pagina
Use Lazy Loading,Foloseste Incarcarea Lazy
Automatically load more colors on page.,Incarca Automat mai multe colorari pe pagina
Auto Triger Padding (px),Distantare declansata Automat (px)
Author,Author
Display Author Information,Arata Informatii despre Autor
Display Color List By Author,Arata Lista Colorarilor dupa Autor
Sidebar,Bara Laterala
Search Form Widget,Widget pt Cautare
Categories Widget,Widget Categorii
Recent Colors Widget,Widget Colorari Recente
Colors Number,Numarul de Colorari
Archive Widget,Widget Arhiva
Tag Claud Widget,Widget Tag Cloud
Rss Feed,Informatii RSS
Feed Title,Titlu Informatii
Feed Description,Descriere Informatii
Product Page,Pagina Produs
Permalink Settings,Setari Permalink
Color Route,Calea URL Color
Permalink Type,Tipul Permalink
Color Route,Calea URL Colorare
Category Route,Calea URL Categorie
Archive Route,Calea URL Arhiva
Tag Route,Calea URL Tag
Author Route,Calea URL Autor
Search Route,Calea URL Cautare
Social,Social
AddThis Enabled,AdaugaAsta Activat
AddThis ID,AdaugaAsta ID
AddThis Language,AdaugaAsta Limba
Category Top Navigation,Navigare Categorii Top
Display Color Link,Arata Link-ul Color-ului
Color Category,Categorie Color
Leave blank to display colors from all categories.,Nu completa pentru a afisa colorari din toate categoriile.
Custom Template,Template Personalizat
Published,Publicat
Category Information,Informatii Categorie
Enable Category,Activeaza Categoria
Category Title,Titlu Categorie
Category in Websites,Categorii in Website
-- Please Select --,-- Alege --
Tag Title,Titlu Tag
Color Information,Informatii Colorare
Enable Color,Activeaza Colorarea
Color Title,Titlu Colorare
New Category,Categorie Noua
Additional Options,Optiuni Suplimentare
Featured Image,Imagini Promovate
Publish Date,Data Publicarii
New Tag,Tag Nou
Open Graph Metadata,Open Graph Metadata
OG Title,OG Title
Leave blank to use Meta Title by default.,Leave blank to use Meta Title by default.
OG Description,OG Description
Leave blank to use Meta Description by default.,Leave blank to use Meta Description by default.
OG Image,OG Image
"Leave blank to use Featured Image by default. Allow image type: jpg, jpeg, gif, png.","Leave blank to use Featured Image by default. Allow image type: jpg, jpeg, gif, png."
OG Type,OG Type
"Leave blank to use ""article"" type by default.","Leave blank to use ""article"" type by default."
Color in Websites,Color in Websites
Related Colors and Products,Related Colors and Products
Related colors are shown to customers in addition to the item the customer is looking at.,Related colors are shown to customers in addition to the item the customer is looking at.
Add Related Color,Adauga Colorare Similara
Add Related Colors,Adauga Colorari Similare
Add Selected Colors,Adauga Colorarile Selectate
"January","Ianuarie"
"February","Februarie"
"March","Martie"
"April","Aprilie"
"May","Mai"
"June","Iunie"
"July","Iulie"
"August","August"
"September","Septembrie"
"October","Octombrie"
"November","Noiembrie"
"December","Decembrie"
"Jan","Ian"
"Feb","Feb"
"Mar","Mar"
"Apr","Apr"
"May","Mai"
"Jun","Iun"
"Jul","Iul"
"Aug","Aug"
"Sep","Sep"
"Oct","Oct"
"Nov","Noi"
"Dec","Dec"
