Add New Category,Adauga Categorie Noua
PrintingMethod Index Page,Prima Pagina PrintingMethod
PrintingMethod View,Vizualizare PrintingMethodare
Display Related PrintingMethods,Arata PrintingMethodari pe aceeasi tema
Number of PrintingMethods,Numar de PrintingMethodari
Display Related Products,Arata produse asemanatoare
Number of Products,Numar de Produse
Comments,Comentarii
Number of Comments,Numar de Comantarii
Facebook Application ID,Aplicatia ID Facebook
Preview and Next PrintingMethod,Previzualizeaza PrintingMethodarea si Urmatoarea
Display Prev. & Next PrintingMethod Links,Arata Link-urile pentru Preview si urmatorul
PrintingMethod List,Lista PrintingMethodari
PrintingMethods Per Page,PrintingMethodari pe Pagina
Use Lazy Loading,Foloseste Incarcarea Lazy
Automatically load more printingmethods on page.,Incarca Automat mai multe printingmethodari pe pagina
Auto Triger Padding (px),Distantare declansata Automat (px)
Author,Author
Display Author Information,Arata Informatii despre Autor
Display PrintingMethod List By Author,Arata Lista PrintingMethodarilor dupa Autor
Sidebar,Bara Laterala
Search Form Widget,Widget pt Cautare
Categories Widget,Widget Categorii
Recent PrintingMethods Widget,Widget PrintingMethodari Recente
PrintingMethods Number,Numarul de PrintingMethodari
Archive Widget,Widget Arhiva
Tag Claud Widget,Widget Tag Cloud
Rss Feed,Informatii RSS
Feed Title,Titlu Informatii
Feed Description,Descriere Informatii
Product Page,Pagina Produs
Permalink Settings,Setari Permalink
PrintingMethod Route,Calea URL PrintingMethod
Permalink Type,Tipul Permalink
PrintingMethod Route,Calea URL PrintingMethodare
Category Route,Calea URL Categorie
Archive Route,Calea URL Arhiva
Tag Route,Calea URL Tag
Author Route,Calea URL Autor
Search Route,Calea URL Cautare
Social,Social
AddThis Enabled,AdaugaAsta Activat
AddThis ID,AdaugaAsta ID
AddThis Language,AdaugaAsta Limba
Category Top Navigation,Navigare Categorii Top
Display PrintingMethod Link,Arata Link-ul PrintingMethod-ului
PrintingMethod Category,Categorie PrintingMethod
Leave blank to display printingmethods from all categories.,Nu completa pentru a afisa printingmethodari din toate categoriile.
Custom Template,Template Personalizat
Published,Publicat
Category Information,Informatii Categorie
Enable Category,Activeaza Categoria
Category Title,Titlu Categorie
Category in Websites,Categorii in Website
-- Please Select --,-- Alege --
Tag Title,Titlu Tag
PrintingMethod Information,Informatii PrintingMethodare
Enable PrintingMethod,Activeaza PrintingMethodarea
PrintingMethod Title,Titlu PrintingMethodare
New Category,Categorie Noua
Additional Options,Optiuni Suplimentare
Featured Image,Imagini Promovate
Publish Date,Data Publicarii
New Tag,Tag Nou
Open Graph Metadata,Open Graph Metadata
OG Title,OG Title
Leave blank to use Meta Title by default.,Leave blank to use Meta Title by default.
OG Description,OG Description
Leave blank to use Meta Description by default.,Leave blank to use Meta Description by default.
OG Image,OG Image
"Leave blank to use Featured Image by default. Allow image type: jpg, jpeg, gif, png.","Leave blank to use Featured Image by default. Allow image type: jpg, jpeg, gif, png."
OG Type,OG Type
"Leave blank to use ""article"" type by default.","Leave blank to use ""article"" type by default."
PrintingMethod in Websites,PrintingMethod in Websites
Related PrintingMethods and Products,Related PrintingMethods and Products
Related printingmethods are shown to customers in addition to the item the customer is looking at.,Related printingmethods are shown to customers in addition to the item the customer is looking at.
Add Related PrintingMethod,Adauga PrintingMethodare Similara
Add Related PrintingMethods,Adauga PrintingMethodari Similare
Add Selected PrintingMethods,Adauga PrintingMethodarile Selectate
"January","Ianuarie"
"February","Februarie"
"March","Martie"
"April","Aprilie"
"May","Mai"
"June","Iunie"
"July","Iulie"
"August","August"
"September","Septembrie"
"October","Octombrie"
"November","Noiembrie"
"December","Decembrie"
"Jan","Ian"
"Feb","Feb"
"Mar","Mar"
"Apr","Apr"
"May","Mai"
"Jun","Iun"
"Jul","Iul"
"Aug","Aug"
"Sep","Sep"
"Oct","Oct"
"Nov","Noi"
"Dec","Dec"
