"Add New Category","Neue Kategorie hinzufügen"
"OG Image","OG-Bild"
"Leave blank to use Featured Image by default. Allow image type: jpg, jpeg, gif, png.","Freilassen, um das Anzeigebild als Standard zu verwenden. Mögliche Dateitypen: jpg, jpeg, gif, png."
"OG Type","OG-Typ"
"Leave blank to use ""article"" type by default.","Freilassen, um ""Artikel"" als Standardtyp zu verwenden."
"Size in Websites","In Websites sizeen"
"Related Sizes and Products","Verwandte Sizes und Produkte"
"Related sizes are shown to customers in addition to the item the customer is looking at.","Verwandte Sizes werden Kunden zusätzlich zu dem Element angezeigt, das sie gerade aufgerufen haben."
"Add Related Size","Verwandten Size hinzufügen"
"Add Related Sizes","Verwandte Sizes hinzufügen"
"Add Selected Sizes","Ausgewählte Sizes hinzufügen"
"January","Januar"
"February","Februar"
"March","März"
"April","April"
"May","Mai"
"June","Juni"
"July","Juli"
"August","August"
"September","September"
"October","Oktober"
"November","November"
"December","Dezember"
"Jan","Jan"
"Feb","Feb"
"Mar","Mär"
"Apr","Apr"
"May","Mai"
"Jun","Jun"
"Jul","Jul"
"Aug","Aug"
"Sep","Sep"
"Oct","Okt"
"Nov","Nov"
"Dec","Dez"
"Reply","Antworten"
"Show more replies in this thread","Mehr Antworten in diesem Thread anzeigen"
"%1 Comment(s)","%1 Kommentar(e)"
"Add a comment...","Kommentar hinzufügen..."
"Add a reply...","Antwort hinzufügen..."
"Sign in to add a comment...","Anmelden, um einen Kommentar hinzuzufügen..."
"Sign in to add a reply...","Anmelden, um eine Antwort hinzuzufügen..."
"Full Name","Vollständiger Name"
"Load more comments","Mehr Kommentare laden"
"Login to submit comment","Einloggen, um den Kommentar abzusenden",
"You cannot size comment. Sheet size is not longer exist.","Sie können keinen Kommentar hinterlassen. Der Sheetsize existiert nicht mehr."
"You cannot reply to this comment. Comment is not longer exist.","Sie können auf diesen Kommentar nicht antworten. Der Kommentar existiert nicht mehr."
"You cannot reply to this comment.","Sie können auf diesen Kommentar nicht antworten"
"You submitted your comment for moderation.","Ihr Kommentare wurde zur Moderation eingereicht."
"Thank you for your comment.","Vielen Dank für Ihren Kommentar."
"Import Categories","Kategorien importieren"
"Import Comments","Kommentare importieren"
"Import Sizes","Sizes importieren"
"Import from aheadWorks Sheet Extension","Aus der Aheadworks Sheet Extension importieren"
"Import from Joomla","Aus Joomla importieren"
"Import from Sheetger.com","Von Sheetger.com importieren"
"Import from Drupal","Aus Drupal importieren"
"Import from CSV","Aus CSV importieren"
"Import from XML","Aus XML importieren"
"Yes, I have read the %1 and agree to the processing of my personal data.","Ja, ich habe die %1 gelesen und stimme der Verarbeitung meiner persönlichen Daten zu."
"privacy policy","Datenschutzbestimmungen"
